StimType,recording_time,Fs,type,elect,contact,amp,env_max,env_min,env_amp,mod_ratio,distance,d1_amp,d1_env_max,d1_env_min,d1_env_amp,d1_mod_ratio,mv_env_max,mv_env_amp,mv_env_max_norm,mv_env_amp_norm
TI,25.3952,30000,11,a,1,3164.739806,3164.739806,241.4094038,1461.665201,0.923719036,61,-0.012805188,-0.012805188,0.004646723,-0.008725955,-1.75E-06,3187.148885,1476.935623,0,1
LF,25.42933333,30000,1,b,15,1862.809342,1862.809342,-2019.744911,1941.277126,2.084246715,12,-0.057477147,-0.057477147,0.060692048,-0.059084598,9.79E-07,1762.224334,1837.87908,1,1
LF,25.42933333,30000,1,b,14,1661.639326,1661.639326,-1807.322743,1734.481035,2.087674512,15.5,-0.043333871,-0.043333871,0.045019653,-0.044176762,1.26E-06,1694.640306,1769.265985,0.947676234,0.948060247
LF,25.42933333,30000,1,b,13,1559.472248,1559.472248,-1704.607339,1632.039794,2.093066799,19,-0.031634209,-0.031634209,0.032885859,-0.032260034,1.06E-06,1553.77048,1625.060542,0.838614374,0.838897485
LF,25.42933333,30000,1,b,12,1440.199865,1440.199865,-1577.121731,1508.660798,2.095071434,22.5,-0.038067634,-0.038067634,0.040597242,-0.039332438,7.84E-07,1430.890307,1499.137772,0.743480161,0.74357461
LF,25.42933333,30000,1,b,11,1292.998808,1292.998808,-1420.426642,1356.712725,2.098552166,26,-0.043995306,-0.043995306,0.045657723,-0.044826515,2.23E-06,1288.477133,1353.41624,0.633223436,0.633264176
LF,25.42933333,30000,1,b,10,1132.232725,1132.232725,-1257.517667,1194.875196,2.110652995,29.5,-0.043000926,-0.043000926,0.044074377,-0.043537652,3.19E-06,1139.074619,1201.179028,0.517555543,0.518021407
LF,25.42933333,30000,1,b,9,991.9923238,991.9923238,-1111.905999,1051.949162,2.120881657,33,-0.035382046,-0.035382046,0.036326693,-0.03585437,3.36E-06,1002.927817,1063.572989,0.412150263,0.413854359
LF,25.42933333,30000,1,b,8,884.5584009,884.5584009,-1003.230815,943.894608,2.134160067,36.5,-0.027451527,-0.027451527,0.028418357,-0.027934942,2.94E-06,892.1274539,950.7494461,0.326368276,0.32844753
LF,25.42933333,30000,1,b,7,799.8316371,799.8316371,-912.9775005,856.4045688,2.1414621,40,-0.023715331,-0.023715331,0.0251758,-0.024445565,2.40E-06,800.9803744,857.6916091,0.255801922,0.258003237
