S_ID,Run,StimType,blocks_1,blocks_2,blocks_3,blocks_4,blocks_5,blocks_6,stimdur_sec,stimdur_min
6,1,0,5,6,7,8,NA,NA,716.916776900005,11.9486129483334
6,1,0,9,10,11,12,NA,NA,695.690706900001,11.594845115
6,2,0,1,3,6,7,10,11,493.634681299998,8.2272446883333
6,2,0,2,4,5,8,9,12,446.787476500002,7.44645794166669
7,1,0,1,2,3,4,NA,NA,738.8297521,12.3138292016667
7,1,0,5,6,7,8,NA,NA,703.1356736,11.7189278933333
7,1,0,9,10,11,12,NA,NA,795.895618800001,13.26492698
7,2,0,1,2,4,8,10,12,593.038784400002,9.88397974000003
7,2,0,3,5,6,7,9,11,544.351064699998,9.07251774499997
7,1,1,1,2,3,4,NA,NA,725.029463999992,12.0838243999999
7,1,1,5,6,7,8,NA,NA,717.73568100002,11.9622613500003
7,1,1,9,10,11,12,NA,NA,747.897474500001,12.4649579083334
7,2,1,1,2,4,8,10,12,538.719971000013,8.97866618333355
7,2,1,3,5,6,7,9,11,536.952562400023,8.94920937333372
8,1,0,1,2,3,4,NA,NA,690.815014099993,11.5135835683332
8,1,0,5,6,7,8,NA,NA,686.034654000017,11.4339109000003
8,1,0,9,10,11,12,NA,NA,656.083318999998,10.9347219833333
8,2,0,3,4,6,8,9,10,528.733914299984,8.81223190499974
8,2,0,1,2,5,7,11,12,522.81060680002,8.71351011333366
8,1,1,1,2,3,4,NA,NA,742.838878499984,12.3806479749997
8,1,1,5,6,7,8,NA,NA,748.984974300023,12.4830829050004
8,1,1,9,10,11,12,NA,NA,702.033620500006,11.7005603416668
8,2,1,3,4,6,8,9,10,599.394935799995,9.98991559666659
8,2,1,1,2,5,7,11,12,550.826396499993,9.18043994166655
9,1,0,1,2,3,4,NA,NA,794.325632599997,13.2387605433333
9,1,0,5,6,7,8,NA,NA,754.670736999979,12.5778456166663
9,1,0,9,10,11,12,NA,NA,796.091380799975,13.2681896799996
9,2,0,2,5,8,9,11,12,590.761062800011,9.84601771333352
9,2,0,1,3,4,6,7,10,638.538588299998,10.642309805
9,1,1,1,2,3,4,NA,NA,802.767435200018,13.3794572533336
9,1,1,5,6,7,8,NA,NA,786.790985800006,13.1131830966668
9,1,1,9,10,11,12,NA,NA,749.605576200003,12.4934262700001
9,2,1,2,5,8,9,11,12,492.187654000008,8.20312756666681
9,2,1,1,3,4,6,7,10,567.099340399989,9.45165567333315
10,1,0,1,2,3,4,NA,NA,816.494659800002,13.60824433
10,1,0,5,6,7,8,NA,NA,848.277893599996,14.1379648933333
10,1,0,9,10,11,12,NA,NA,858.409600899991,14.3068266816665
10,2,0,1,2,3,4,5,8,735.794581499998,12.263243025
10,2,0,6,7,9,10,11,12,703.761778700005,11.7293629783334
10,1,1,1,2,3,4,NA,NA,851.814173999999,14.1969029
10,1,1,5,6,7,8,NA,NA,793.38586509999,13.2230977516665
10,1,1,9,10,11,12,NA,NA,775.941737200003,12.9323622866667
10,2,1,1,2,3,4,5,8,711.353749800008,11.8558958300001
10,2,1,6,7,9,10,11,12,643.588712600002,10.7264785433334
11,1,0,1,2,3,4,NA,NA,691.277596,11.5212932666667
11,1,0,5,6,7,8,NA,NA,677.543485999995,11.2923914333333
11,1,0,9,10,11,12,NA,NA,653.816958900003,10.896949315
11,2,0,2,3,6,9,10,12,517.649094099994,8.62748490166656
11,2,0,1,4,5,7,8,11,556.299107500003,9.27165179166671
11,1,1,1,2,3,4,NA,NA,732.819979299995,12.2136663216666
11,1,1,5,6,7,8,NA,NA,689.4062643,11.490104405
11,1,1,9,10,11,12,NA,NA,730.1755848,12.16959308
11,2,1,2,3,6,9,10,12,534.364044,8.9060674
11,2,1,1,4,5,7,8,11,608.0228287,10.1337138116667
12,1,0,1,2,3,4,NA,NA,751.541565199994,12.5256927533332
12,1,0,5,6,7,8,NA,NA,711.445612399984,11.8574268733331
12,1,0,9,10,11,12,NA,NA,724.809800799994,12.0801633466666
12,2,0,1,3,4,5,7,11,581.998182600015,9.69996971000025
12,2,0,2,6,8,9,10,12,568.288375299977,9.47147292166628
12,1,1,1,2,3,4,NA,NA,677.856073199997,11.2976012199999
12,1,1,5,6,7,8,NA,NA,687.365025400002,11.4560837566667
12,1,1,9,10,11,12,NA,NA,720.557657700003,12.009294295
12,2,1,1,3,4,5,7,11,592.412064099997,9.87353440166662
12,2,1,2,6,8,9,10,12,570.196138299994,9.50326897166657
