ID,StimType,Region,ROI,Ratio,VolBrain,Mean,Std,Median,Min,Max,MeanTEf,StdTEf,MedianTEf
18,TI 1:1,Electrode,Ant,1,20226,0.133172819,0.092677548,0.121969125,0,0.434157938,0.245660737,0.137737628,0.237005321
18,TI 1:1,Electrode,Mid,1,20184,0.101618951,0.090406675,0.072758206,0,0.523766951,0.202454564,0.107408555,0.206756384
18,TI 1:1,Electrode,Post,1,19196,0.070586347,0.058689144,0.056679653,0,0.300097784,0.145515783,0.107311031,0.115558177
18,TI 1:1,Hippocampus,Ant,1,13345,0.194502147,0.018120148,0.191465318,0.108603902,0.289476275,0.230829779,0.019602412,0.230240822
18,TI 1:1,Hippocampus,Mid,1,18094,0.221737283,0.028030768,0.22707703,0.070560068,0.352712423,0.238938829,0.027733335,0.24506982
18,TI 1:1,Hippocampus,Post,1,13085,0.181165999,0.020915034,0.182731807,0.091818936,0.260341704,0.230966073,0.023397891,0.23320812
18,TI 1:3,Electrode,Ant,1.5,20226,0.131206817,0.097255128,0.111785101,0,0.495907746,0.198785454,0.103312135,0.1967831
18,TI 1:3,Electrode,Mid,1.5,20184,0.060577654,0.053627408,0.044301013,0,0.326263407,0.237936698,0.137331494,0.244287914
18,TI 1:3,Electrode,Post,1.5,19196,0.038699912,0.029484029,0.034764801,0,0.150048892,0.177722587,0.143010305,0.136222421
18,TI 1:3,Hippocampus,Ant,1.5,13345,0.133578706,0.011974983,0.134195834,0.071169041,0.202234954,0.212665963,0.018428734,0.210604351
18,TI 1:3,Hippocampus,Mid,1.5,18094,0.11584453,0.014557006,0.116505217,0.041137725,0.176356211,0.242563713,0.031661648,0.247047935
18,TI 1:3,Hippocampus,Post,1.5,13085,0.090582999,0.010457517,0.091365904,0.045909468,0.130170852,0.25586611,0.025654276,0.256925575
19,TI 1:1,Electrode,Ant,1,18106,0.11840883,0.082790267,0.110692855,0,0.430640791,0.225305364,0.11725214,0.223931972
19,TI 1:1,Electrode,Mid,1,18153,0.146309146,0.099900397,0.129409079,0,0.55642724,0.243569368,0.088419986,0.235155599
19,TI 1:1,Electrode,Post,1,17995,0.087039317,0.05405547,0.087467007,0,0.329339156,0.190243147,0.098988374,0.187179622
